"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","FSM","SEN Supp","All","All","All state-funded","All","11","%","6356","701"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","All state-funded","All","19.8","%","30252","5977"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","SEN Supp","All","All","All state-funded","All","21.3","%","27382","5834"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","All state-funded","All","6.5","%","21842","1418"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","Non-FSM","SEN Supp","All","All","All state-funded","All","27.6","%","17803","4915"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","All state-funded","All","52.9","%","233795","123647"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","No SEN","All","All","All state-funded","All","32.2","%","30635","9876"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","All state-funded","All","5.9","%","6093","361"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","SEN Supp","All","All","All state-funded","All","10.6","%","15066","1594"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","No SEN","All","All","All state-funded","All","34.7","%","65779","22812"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","All state-funded","All","20.5","%","60251","12343"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","Non-FSM","SEN State EHC","All","All","All state-funded","All","8.3","%","14026","1169"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","All","58.3","%","61023","35548"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","Non-FSM","SEN Supp","All","All","All state-funded","All","23.8","%","45185","10749"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","All state-funded","All","52.9","%","233795","123647"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","All state-funded","All","18.6","%","36092","6727"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","All state-funded","All","24.3","%","45070","10961"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","SEN State EHC","All","All","All state-funded","All","3.4","%","5723","192"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","FSM","All","All","All","All state-funded","All","31.4","%","43596","13694"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","All","45.9","%","286588","131494"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","Non-FSM","No SEN","All","All","All state-funded","All","62.1","%","209013","129892"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","All state-funded","All","6.7","%","15749","1057"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","All state-funded","All","39.7","%","5143","2041"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","Non-FSM","All","All","All","All state-funded","All","61.3","%","50580","31020"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","All","54.1","%","275406","148923"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","All state-funded","All","17.3","%","6189","1069"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","All state-funded","All","62.9","%","54832","34479"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","No SEN","All","All","All state-funded","All","56","%","203160","113771"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","All state-funded","All","23.2","%","24159","5616"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","Non-FSM","No SEN","All","All","All state-funded","All","59.1","%","412173","243663"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","Girls","FSM","All","All","All","All state-funded","All","46.9","%","5300","2487"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","No SEN","All","All","All state-funded","All","58.5","%","244157","142828"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded special schools","All","0.9","%","11253","103"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded special schools","All","1","%","11355","108"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded special schools","All","3.8","%","78","3"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","State-funded special schools","All","0.5","%","3108","17"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded special schools","All","4.9","%","102","5"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded special schools","All","0.8","%","3566","27"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded special schools","All","1.1","%","8145","86"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","Non-FSM","All","All","All","State-funded special schools","All","1.2","%","6544","76"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","SEN State EHC","All","All","All state-funded","All","3.2","%","7816","249"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","FSM","All","All","All","State-funded special schools","All","0.4","%","1245","5"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","State-funded special schools","All","8.3","%","24","2"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","State-funded special schools","All","0.7","%","4811","32"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","Non-FSM","All","All","All","State-funded special schools","All","0.7","%","1887","14"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded special schools","All","1.1","%","8223","89"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded special schools","All","1","%","11355","108"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded special schools","All","0.6","%","3132","19"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded special schools","All","1.3","%","4657","62"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded special schools","All","1.1","%","8223","89"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","State-funded special schools","All","0.6","%","3132","19"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","State-funded mainstream","All","53.5","%","242016","129468"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","All","17.6","%","43618","7695"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","All","52.9","%","233795","123647"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","All","55.8","%","477952","266475"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","No identified SEN","All","State-funded mainstream","All","58.5","%","244157","142828"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","All","12.8","%","7604","971"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","State-funded mainstream","All","22","%","27120","5958"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","State-funded mainstream","All","11.5","%","2985","344"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","All","19.3","%","70738","13653"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","All","52.9","%","233795","123647"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","State-funded mainstream","All","23.3","%","24135","5614"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","All","55.8","%","477952","266475"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","All","12.4","%","10589","1315"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","No SEN","All","All","State-funded mainstream","All","58.5","%","244157","142828"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","All","20.5","%","60149","12338"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","All","50.9","%","236861","120471"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","Non-FSM","All","All","All","State-funded mainstream","All","54.8","%","466784","255686"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","All","18.7","%","36014","6724"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","Studio Schools","All","18.8","%","112","21"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Free Schools","All","57.6","%","5148","2967"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","No identified SEN","All","Converter Academies","All","63.2","%","130266","82277"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","University Technical Colleges (UTCs)","All","20.4","%","573","117"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Sponsored Academies","All","42.3","%","48278","20400"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","Converter Academies","All","26","%","13231","3438"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Converter Academies","All","20.5","%","20847","4277"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","Sponsored Academies","All","14.7","%","6195","910"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","FE 14-16 Colleges","All","0","%","22","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Free Schools","All","23","%","953","219"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","No identified SEN","All","University Technical Colleges (UTCs)","All","46.2","%","886","409"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","No identified SEN","All","Free Schools","All","61.1","%","4608","2814"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Converter Academies","All","57.8","%","122199","70692"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","No identified SEN","All","FE 14-16 Colleges","All","0","%","2","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","No identified SEN","All","Studio Schools","All","42.1","%","428","180"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","University Technical Colleges (UTCs)","All","41","%","1913","784"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Free Schools","All","23","%","1533","352"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Studio Schools","All","36.8","%","459","169"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Converter Academies","All","22.6","%","34078","7715"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Studio Schools","All","13.7","%","153","21"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Free Schools","All","59.3","%","9756","5781"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","Free Schools","All","22.9","%","580","133"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Sponsored Academies","All","45.2","%","96980","43824"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Studio Schools","All","39.3","%","887","349"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","FE 14-16 Colleges","All","0","%","3","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Sponsored Academies","All","13.6","%","16821","2294"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","University Technical Colleges (UTCs)","All","22.7","%","718","163"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Studio Schools","All","15.8","%","265","42"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","University Technical Colleges (UTCs)","All","42.6","%","2799","1193"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","FE 14-16 Colleges","All","0","%","2","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Converter Academies","All","60.6","%","252465","152969"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","No identified SEN","All","Sponsored Academies","All","48.1","%","48702","23424"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","Sponsored Academies","All","8.2","%","621","51"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","FE 14-16 Colleges","All","!","%","1","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","FE 14-16 Colleges","All","!","%","1","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","Free Schools","All","16.4","%","61","10"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Studio Schools","All","13.2","%","136","18"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Converter Academies","All","14.5","%","3734","543"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","FE 14-16 Colleges","All","0","%","20","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","Sponsored Academies","All","15.4","%","5574","859"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Free Schools","All","57.6","%","5148","2967"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Studio Schools","All","17.6","%","17","3"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Converter Academies","All","57.8","%","122199","70692"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","No SEN","All","All","University Technical Colleges (UTCs)","All","46.2","%","886","409"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","No SEN","All","All","Free Schools","All","61.1","%","4608","2814"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","University Technical Colleges (UTCs)","All","33.1","%","139","46"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","No SEN","All","All","Sponsored Academies","All","48.1","%","48702","23424"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Free Schools","All","24.3","%","793","193"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","Converter Academies","All","27.5","%","11744","3226"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","FE 14-16 Colleges","All","0","%","2","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","University Technical Colleges (UTCs)","All","31.7","%","145","46"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","Studio Schools","All","12.5","%","8","1"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Sponsored Academies","All","13","%","10626","1384"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","Converter Academies","All","14.3","%","1487","212"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","FE 14-16 Colleges","All","0","%","2","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","Studio Schools","All","19.2","%","104","20"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","University Technical Colleges (UTCs)","All","41","%","1913","784"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","University Technical Colleges (UTCs)","All","20.5","%","516","106"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","No SEN","All","All","FE 14-16 Colleges","All","0","%","2","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","University Technical Colleges (UTCs)","All","0","%","6","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","FE 14-16 Colleges","All","0","%","24","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Sponsored Academies","All","13.6","%","8821","1203"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Studio Schools","All","36.8","%","459","169"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Free Schools","All","16.3","%","160","26"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Sponsored Academies","All","42.3","%","48278","20400"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Free Schools","All","24.1","%","1312","316"
