Ethnicity,Gender,FSM,SEN_type,SEN_grouping,Admission_type,School_characteristic,Religious_denomination,Value,Value_type,Denominator,Numerator
All,Girls,All,All,No identified SEN,All,State-funded mainstream,All,58.5,%,244157,142828
All,Boys,All,SEN State EHC,All,All,State-funded mainstream,All,12.8,%,7604,971
All,Girls,All,All,Any SEN,All,State-funded mainstream,All,22,%,27120,5958
All,Girls,All,SEN State EHC,All,All,State-funded mainstream,All,11.5,%,2985,344
All,All,All,All,Any SEN,All,State-funded mainstream,All,19.3,%,70738,13653
All,Boys,All,No SEN,All,All,State-funded mainstream,All,52.9,%,233795,123647
All,Girls,All,SEN Supp,All,All,State-funded mainstream,All,23.3,%,24135,5614
All,All,All,No SEN,All,All,State-funded mainstream,All,55.8,%,477952,266475
All,All,All,SEN State EHC,All,All,State-funded mainstream,All,12.4,%,10589,1315
All,Girls,All,No SEN,All,All,State-funded mainstream,All,58.5,%,244157,142828
All,All,All,SEN Supp,All,All,State-funded mainstream,All,20.5,%,60149,12338
All,Boys,Non-FSM,All,All,All,State-funded mainstream,All,50.9,%,236861,120471
All,All,Non-FSM,All,All,All,State-funded mainstream,All,54.8,%,466784,255686
All,Boys,All,SEN Supp,All,All,State-funded mainstream,All,18.7,%,36014,6724
All,Girls,All,All,Any SEN,All,Studio Schools,All,18.8,%,112,21
All,Boys,All,All,No identified SEN,All,Free Schools,All,57.6,%,5148,2967
All,Girls,All,All,No identified SEN,All,Converter Academies,All,63.2,%,130266,82277
All,Boys,All,All,Any SEN,All,University Technical Colleges (UTCs),All,20.4,%,573,117
All,Boys,All,All,No identified SEN,All,Sponsored Academies,All,42.3,%,48278,20400
All,Girls,All,All,Any SEN,All,Converter Academies,All,26,%,13231,3438
All,Boys,All,All,Any SEN,All,Converter Academies,All,20.5,%,20847,4277
All,Girls,All,All,Any SEN,All,Sponsored Academies,All,14.7,%,6195,910
All,Boys,All,All,Any SEN,All,FE 14-16 Colleges,All,0,%,22,0
All,Boys,All,All,Any SEN,All,Free Schools,All,23,%,953,219
All,Girls,All,All,No identified SEN,All,University Technical Colleges (UTCs),All,46.2,%,886,409
All,Girls,All,All,No identified SEN,All,Free Schools,All,61.1,%,4608,2814
All,Boys,All,All,No identified SEN,All,Converter Academies,All,57.8,%,122199,70692
All,Girls,All,All,No identified SEN,All,FE 14-16 Colleges,All,0,%,2,0
All,Girls,All,All,No identified SEN,All,Studio Schools,All,42.1,%,428,180
All,Boys,All,All,No identified SEN,All,University Technical Colleges (UTCs),All,41,%,1913,784
All,All,All,All,Any SEN,All,Free Schools,All,23,%,1533,352
All,Boys,All,All,No identified SEN,All,Studio Schools,All,36.8,%,459,169
All,All,All,All,Any SEN,All,Converter Academies,All,22.6,%,34078,7715
All,Boys,All,All,Any SEN,All,Studio Schools,All,13.7,%,153,21
All,All,All,All,No identified SEN,All,Free Schools,All,59.3,%,9756,5781
All,Girls,All,All,Any SEN,All,Free Schools,All,22.9,%,580,133
All,All,All,All,No identified SEN,All,Sponsored Academies,All,45.2,%,96980,43824
All,All,All,All,No identified SEN,All,Studio Schools,All,39.3,%,887,349
All,All,All,All,No identified SEN,All,FE 14-16 Colleges,All,0,%,3,0
All,All,All,All,Any SEN,All,Sponsored Academies,All,13.6,%,16821,2294
All,All,All,All,Any SEN,All,University Technical Colleges (UTCs),All,22.7,%,718,163
All,All,All,All,Any SEN,All,Studio Schools,All,15.8,%,265,42
All,All,All,All,No identified SEN,All,University Technical Colleges (UTCs),All,42.6,%,2799,1193
All,Girls,All,All,Any SEN,All,FE 14-16 Colleges,All,0,%,2,0
All,All,All,All,No identified SEN,All,Converter Academies,All,60.6,%,252465,152969
All,Girls,All,All,No identified SEN,All,Sponsored Academies,All,48.1,%,48702,23424
All,Girls,All,SEN State EHC,All,All,Sponsored Academies,All,8.2,%,621,51
All,Boys,All,All,No identified SEN,All,FE 14-16 Colleges,All,!,%,1,!
All,Boys,All,No SEN,All,All,FE 14-16 Colleges,All,!,%,1,!
All,Girls,All,SEN State EHC,All,All,Free Schools,All,16.4,%,61,10
All,Boys,All,SEN Supp,All,All,Studio Schools,All,13.2,%,136,18
All,Boys,All,SEN State EHC,All,All,Converter Academies,All,14.5,%,3734,543
All,Boys,All,SEN Supp,All,All,FE 14-16 Colleges,All,0,%,20,0
All,Girls,All,SEN Supp,All,All,Sponsored Academies,All,15.4,%,5574,859
All,Boys,All,No SEN,All,All,Free Schools,All,57.6,%,5148,2967
All,Boys,All,SEN State EHC,All,All,Studio Schools,All,17.6,%,17,3
All,Boys,All,No SEN,All,All,Converter Academies,All,57.8,%,122199,70692
All,Girls,All,No SEN,All,All,University Technical Colleges (UTCs),All,46.2,%,886,409
All,Girls,All,No SEN,All,All,Free Schools,All,61.1,%,4608,2814
All,Girls,All,SEN Supp,All,All,University Technical Colleges (UTCs),All,33.1,%,139,46
All,Girls,All,No SEN,All,All,Sponsored Academies,All,48.1,%,48702,23424
All,Boys,All,SEN Supp,All,All,Free Schools,All,24.3,%,793,193
All,Girls,All,SEN Supp,All,All,Converter Academies,All,27.5,%,11744,3226
All,Boys,All,SEN State EHC,All,All,FE 14-16 Colleges,All,0,%,2,0
All,Girls,All,All,Any SEN,All,University Technical Colleges (UTCs),All,31.7,%,145,46
All,Girls,All,SEN State EHC,All,All,Studio Schools,All,12.5,%,8,1
All,Boys,All,All,Any SEN,All,Sponsored Academies,All,13,%,10626,1384
All,Girls,All,SEN State EHC,All,All,Converter Academies,All,14.3,%,1487,212
All,Girls,All,SEN Supp,All,All,FE 14-16 Colleges,All,0,%,2,0
All,Girls,All,SEN Supp,All,All,Studio Schools,All,19.2,%,104,20
All,Boys,All,No SEN,All,All,University Technical Colleges (UTCs),All,41,%,1913,784
All,Boys,All,SEN Supp,All,All,University Technical Colleges (UTCs),All,20.5,%,516,106
All,Girls,All,No SEN,All,All,FE 14-16 Colleges,All,0,%,2,0
All,Girls,All,SEN State EHC,All,All,University Technical Colleges (UTCs),All,0,%,6,0
All,All,All,All,Any SEN,All,FE 14-16 Colleges,All,0,%,24,0
All,Boys,All,SEN Supp,All,All,Sponsored Academies,All,13.6,%,8821,1203
All,Boys,All,No SEN,All,All,Studio Schools,All,36.8,%,459,169
All,Boys,All,SEN State EHC,All,All,Free Schools,All,16.3,%,160,26
All,Boys,All,No SEN,All,All,Sponsored Academies,All,42.3,%,48278,20400
All,All,All,SEN Supp,All,All,Free Schools,All,24.1,%,1312,316
All,All,All,SEN State EHC,All,All,Free Schools,All,16.3,%,221,36
All,Boys,All,SEN Supp,All,All,Converter Academies,All,21.8,%,17113,3734
All,All,All,SEN State EHC,All,All,FE 14-16 Colleges,All,0,%,2,0
All,All,All,No SEN,All,All,Converter Academies,All,60.6,%,252465,152969
All,All,All,No SEN,All,All,University Technical Colleges (UTCs),All,42.6,%,2799,1193
All,All,All,No SEN,All,All,FE 14-16 Colleges,All,0,%,3,0
All,All,All,SEN Supp,All,All,Sponsored Academies,All,14.3,%,14395,2062
Asian,All,All,All,All,All,Academies and free schools,All,61.2,%,43483,26618
Asian,Boys,All,All,All,All,University Technical Colleges (UTCs),All,41.4,%,169,70
Asian,Boys,All,All,All,All,Sponsored Academies,All,45,%,6249,2811
Asian,Boys,All,All,All,All,FE 14-16 Colleges,All,!,%,2,!
Asian,Girls,All,All,All,All,Free Schools,All,67.3,%,1237,832
Asian,Boys,All,All,All,All,Free Schools,All,64.6,%,1487,961
Asian,Girls,All,All,All,All,Converter Academies,All,68.7,%,14825,10188
Asian,Boys,All,All,All,All,Converter Academies,All,63.6,%,14177,9017
Asian,Boys,All,All,All,All,Studio Schools,All,27.5,%,40,11
Asian,Girls,All,All,All,All,Studio Schools,All,47.1,%,51,24
Asian,Girls,All,All,All,All,University Technical Colleges (UTCs),All,53.1,%,81,43
Asian,All,All,All,All,All,Converter Academies,All,66.2,%,29002,19205
Asian,All,All,All,All,All,Sponsored Academies,All,47.9,%,11416,5472
Asian,All,All,All,All,All,Studio Schools,All,38.5,%,91,35
Asian,All,All,All,All,All,FE 14-16 Colleges,All,!,%,2,!
Asian,All,All,All,All,All,Free Schools,All,65.8,%,2724,1793
Asian,All,All,All,All,All,University Technical Colleges (UTCs),All,45.2,%,250,113
Asian,Boys,All,All,All,All,Academies and free schools,All,58.2,%,22122,12870
Asian,Girls,All,All,All,All,Academies and free schools,All,64.4,%,21361,13748
Asian,Girls,All,All,All,All,Sponsored Academies,All,51.5,%,5167,2661
Asian,Girls,All,All,All,All,LA maintained mainstream,All,56.8,%,8173,4644
Asian,Boys,All,All,All,All,LA maintained mainstream,All,50.6,%,8393,4245
Asian Other,Girls,FSM,All,All,All,All state-funded,All,49.9,%,689,344
Asian Other,All,FSM,All,All,All,All state-funded,All,42.9,%,1431,614
Asian,Boys,All,All,All,All,All state-funded,All,55,%,31129,17134
Asian,All,All,No SEN,All,All,All state-funded,All,62.9,%,54832,34479
Asian Other,Boys,FSM,All,All,All,All state-funded,All,36.4,%,742,270
Asian,Girls,All,All,All,All,All state-funded,All,61.6,%,29894,18414
Asian,All,All,All,All,All,LA maintained mainstream,All,53.7,%,16566,8889
Asian,Boys,All,All,All,non-selective schools in other areas,State-funded mainstream,All,52.2,%,26764,13982
Asian,Boys,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,49.6,%,1151,571
Asian,Boys,All,All,All,selective schools,State-funded mainstream,All,98.2,%,2623,2577
Asian,Girls,All,All,All,selective schools,State-funded mainstream,All,98.6,%,2364,2332
Asian,Girls,All,All,All,non-selective schools in other areas,State-funded mainstream,All,59.2,%,25993,15386
Asian,All,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,53.8,%,2355,1267
Asian,Girls,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,57.8,%,1204,696
Asian,All,All,All,All,selective schools,State-funded mainstream,All,98.4,%,4987,4909
Asian,All,All,All,All,non-selective schools in other areas,State-funded mainstream,All,55.7,%,52757,29368
Asian,Girls,All,All,All,All,State-funded mainstream,All,62.3,%,29561,18414
Asian,Boys,All,All,All,All,State-funded mainstream,All,56.1,%,30540,17130
Asian,Boys,All,All,No identified SEN,All,All state-funded,All,60.4,%,27307,16491
Asian,Girls,All,All,Any SEN,All,All state-funded,All,18,%,2369,426
Asian,Boys,All,All,Any SEN,All,All state-funded,All,16.8,%,3820,643
Asian,All,All,SEN State EHC,All,All,All state-funded,All,7.5,%,1757,132
Asian,Girls,All,All,No identified SEN,All,All state-funded,All,65.4,%,27525,17988
Asian,Girls,All,No SEN,All,All,All state-funded,All,65.4,%,27525,17988
Asian,All,All,SEN Supp,All,All,All state-funded,All,21.1,%,4432,937
Asian,Boys,All,SEN State EHC,All,All,All state-funded,All,7.9,%,1145,90
Asian,Girls,All,SEN State EHC,All,All,All state-funded,All,6.9,%,612,42
Asian,Boys,All,SEN Supp,All,All,All state-funded,All,20.7,%,2675,553
Asian,Boys,All,No SEN,All,All,All state-funded,All,60.4,%,27307,16491
Asian Other,All,All,All,All,All,All state-funded,All,65,%,10247,6661
Asian Other,All,Non-FSM,All,All,All,All state-funded,All,68.6,%,8816,6047
Bangladeshi,Boys,FSM,All,All,All,All state-funded,All,46.6,%,1293,603
Bangladeshi,Girls,FSM,All,All,All,All state-funded,All,52.1,%,1414,736
Asian Other,Boys,All,All,All,All,All state-funded,All,60.1,%,5398,3246
Asian,Girls,All,SEN Supp,All,All,All state-funded,All,21.9,%,1757,384
Asian,All,All,All,All,All,State-funded special schools,All,0.4,%,922,4
Asian,Boys,All,All,All,All,State-funded special schools,All,0.7,%,589,4
Asian,Girls,All,All,All,All,State-funded special schools,All,0,%,333,0
Asian,All,All,All,All,All,State-funded mainstream,All,59.1,%,60101,35544
Asian Other,Girls,All,All,All,All,All state-funded,All,70.4,%,4849,3415
Black,Boys,FSM,All,All,All,All state-funded,All,29.6,%,4159,1231
Black,Girls,FSM,All,All,All,All state-funded,All,41.3,%,4106,1696
Black African,Girls,FSM,All,All,All,All state-funded,All,45.6,%,2620,1196
Black African,Boys,FSM,All,All,All,All state-funded,All,34.5,%,2533,873
Bangladeshi,All,All,All,All,All,All state-funded,All,57.3,%,10372,5939
Bangladeshi,All,FSM,All,All,All,All state-funded,All,49.5,%,2707,1339
Bangladeshi,All,Non-FSM,All,All,All,All state-funded,All,60,%,7665,4600
Bangladeshi,Boys,All,All,All,All,All state-funded,All,54.4,%,5143,2799
Black Caribbean,Boys,FSM,All,All,All,All state-funded,All,21.1,%,1049,221
Black Caribbean,Girls,FSM,All,All,All,All state-funded,All,29.2,%,990,289
Black Other,Girls,FSM,All,All,All,All state-funded,All,42.5,%,496,211
Black Other,Boys,FSM,All,All,All,All state-funded,All,23.7,%,577,137
Black,All,All,All,All,All,All state-funded,All,46,%,32935,15141
Bangladeshi,Girls,All,All,All,All,All state-funded,All,60,%,5229,3140
Black,All,FSM,All,All,All,All state-funded,All,35.4,%,8265,2927
Black,All,All,All,Any SEN,All,All state-funded,All,12.6,%,4532,571
Black,All,Non-FSM,All,All,All,All state-funded,All,49.5,%,24670,12214
Black,All,All,All,All,All,Academies and free schools,All,47.5,%,22525,10708
Black,Girls,All,All,All,All,Sponsored Academies,All,48.3,%,4005,1935
Black,Boys,All,All,All,All,FE 14-16 Colleges,All,!,%,1,!
Black,Girls,All,All,All,All,Free Schools,All,48.8,%,563,275
Black,Girls,All,All,All,All,Studio Schools,All,33.3,%,21,7
Black,Girls,All,All,All,All,Converter Academies,All,57,%,6535,3727
Black,Girls,All,All,All,All,University Technical Colleges (UTCs),All,41.6,%,77,32
Black,Boys,All,All,All,All,University Technical Colleges (UTCs),All,36.6,%,145,53
Black,Boys,All,All,All,All,Studio Schools,All,18.2,%,11,2
Black,All,All,All,All,All,Converter Academies,All,51.8,%,12467,6462
Black,Boys,All,All,All,All,Converter Academies,All,46.1,%,5932,2735
Black,All,All,All,All,All,Free Schools,All,44.9,%,1208,542
Black,All,All,All,All,All,Studio Schools,All,28.1,%,32,9
Black,All,All,All,All,All,FE 14-16 Colleges,All,!,%,1,!
Black,All,All,All,All,All,Sponsored Academies,All,42,%,8596,3610
Black,Girls,All,All,All,All,Academies and free schools,All,53.4,%,11201,5976
Black,Boys,All,All,All,All,Academies and free schools,All,41.8,%,11324,4732
Black,Boys,All,All,All,All,Sponsored Academies,All,36.5,%,4591,1675
Black,Boys,All,All,All,All,Free Schools,All,41.4,%,645,267
Black,All,All,All,All,All,LA maintained mainstream,All,45.4,%,9698,4400
Black,Boys,All,All,All,All,LA maintained mainstream,All,39.7,%,4588,1823
Black,Girls,All,All,All,All,LA maintained mainstream,All,50.4,%,5110,2577
Black,All,All,All,No identified SEN,All,All state-funded,All,51.3,%,28402,14570
Gypsy/Roma,Boys,FSM,All,All,All,All state-funded,All,4.5,%,246,11
Gypsy/Roma,Girls,FSM,All,All,All,All state-funded,All,6.4,%,251,16
Black African,All,FSM,All,All,All,All state-funded,All,40.2,%,5153,2069
Black,Boys,All,All,All,All,All state-funded,All,40,%,16436,6571
Black,All,All,No SEN,All,All,All state-funded,All,51.3,%,28402,14570
Black,Girls,All,All,All,All,All state-funded,All,51.9,%,16499,8570
Black,Girls,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,53.4,%,762,407
Black,Boys,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,40.6,%,727,295
Black,Girls,All,All,All,selective schools,State-funded mainstream,All,99,%,627,621
Black,Boys,All,All,All,non-selective schools in other areas,State-funded mainstream,All,39.3,%,14687,5776
Black,All,All,All,All,selective schools,State-funded mainstream,All,97.4,%,1148,1118
Black,Girls,All,All,All,non-selective schools in other areas,State-funded mainstream,All,50.4,%,14951,7542
Black,All,All,All,All,non-selective schools in other areas,State-funded mainstream,All,44.9,%,29638,13318
Black,All,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,47.1,%,1489,702
Black,Boys,All,All,All,selective schools,State-funded mainstream,All,95.4,%,521,497
Black,Boys,All,All,All,All,State-funded mainstream,All,41.2,%,15936,6568
Black,Girls,All,All,All,All,State-funded mainstream,All,52.4,%,16340,8570
Black,Boys,All,All,No identified SEN,All,All state-funded,All,46,%,13542,6236
Black,Girls,All,All,Any SEN,All,All state-funded,All,14.4,%,1639,236
Black,All,All,SEN State EHC,All,All,All state-funded,All,4.4,%,1310,57
Black,Girls,All,All,No identified SEN,All,All state-funded,All,56.1,%,14860,8334
Black,Boys,All,All,Any SEN,All,All state-funded,All,11.6,%,2893,335
Black,Boys,All,SEN State EHC,All,All,All state-funded,All,4.8,%,973,47
Black,Boys,All,No SEN,All,All,All state-funded,All,46,%,13542,6236
Black,Girls,All,SEN State EHC,All,All,All state-funded,All,3,%,337,10
Black,All,All,SEN Supp,All,All,All state-funded,All,16,%,3222,514
Black,Boys,All,SEN Supp,All,All,All state-funded,All,15,%,1920,288
Black,Girls,All,No SEN,All,All,All state-funded,All,56.1,%,14860,8334
Black,Girls,All,SEN Supp,All,All,All state-funded,All,17.4,%,1302,226
Black African,All,All,All,All,All,All state-funded,All,50.7,%,21299,10799
Indian,Boys,FSM,All,All,All,All state-funded,All,47.2,%,587,277
Black African,All,Non-FSM,All,All,All,All state-funded,All,54.1,%,16146,8730
Indian,Girls,FSM,All,All,All,All state-funded,All,57.2,%,556,318
Black African,Boys,All,All,All,All,All state-funded,All,45.3,%,10522,4762
Black,Boys,All,All,All,All,State-funded special schools,All,0.6,%,500,3
Black,Girls,All,All,All,All,State-funded special schools,All,0,%,159,0
Black,All,All,All,All,All,State-funded special schools,All,0.5,%,659,3
Black,All,All,All,All,All,State-funded mainstream,All,46.9,%,32276,15138
Black,All,All,All,All,All,University Technical Colleges (UTCs),All,38.3,%,222,85
Irish Traveller,Boys,FSM,All,All,All,All state-funded,All,6.3,%,48,3
Irish Traveller,Girls,FSM,All,All,All,All state-funded,All,14.6,%,41,6
Mixed,Boys,FSM,All,All,All,All state-funded,All,26.1,%,3196,834
Black Caribbean,All,All,All,All,All,All state-funded,All,34.8,%,7378,2567
Black Caribbean,All,FSM,All,All,All,All state-funded,All,25,%,2039,510
Mixed,Girls,FSM,All,All,All,All state-funded,All,33.7,%,3125,1052
Black African,Girls,All,All,All,All,All state-funded,All,56,%,10777,6037
Black Caribbean,All,Non-FSM,All,All,All,All state-funded,All,38.5,%,5339,2057
Black Caribbean,Boys,All,All,All,All,All state-funded,All,29.2,%,3700,1080
Black Other,All,All,All,All,All,All state-funded,All,41.7,%,4258,1775
Mixed Other,Boys,FSM,All,All,All,All state-funded,All,31.3,%,1124,352
Mixed Other,Girls,FSM,All,All,All,All state-funded,All,34.9,%,1059,370
Mixed White and Asian,Girls,FSM,All,All,All,All state-funded,All,40.1,%,504,202
Mixed White and Asian,Boys,FSM,All,All,All,All state-funded,All,28.5,%,558,159
Black Other,All,FSM,All,All,All,All state-funded,All,32.4,%,1073,348
Black Caribbean,Girls,All,All,All,All,All state-funded,All,40.4,%,3678,1487
Black Other,All,Non-FSM,All,All,All,All state-funded,All,44.8,%,3185,1427
Mixed White and Black African,Girls,FSM,All,All,All,All state-funded,All,39.4,%,421,166
Mixed White and Black African,Boys,FSM,All,All,All,All state-funded,All,29.7,%,411,122
Mixed White and Black Caribbean,Boys,FSM,All,All,All,All state-funded,All,18.2,%,1103,201
Mixed White and Black Caribbean,Girls,FSM,All,All,All,All state-funded,All,27.5,%,1141,314
Black Other,Boys,All,All,All,All,All state-funded,All,32.9,%,2214,729
Black Other,Girls,All,All,All,All,All state-funded,All,51.2,%,2044,1046
Chinese,All,All,All,All,All,All state-funded,All,79.6,%,1959,1560
Chinese,Boys,All,No SEN,All,All,All state-funded,All,79,%,880,695
Chinese,Girls,All,No SEN,All,All,All state-funded,All,85.4,%,959,819
Chinese,All,All,All,Any SEN,All,All state-funded,All,38.3,%,120,46
Chinese,Boys,All,SEN State EHC,All,All,All state-funded,All,29.4,%,34,10
Chinese,Girls,All,SEN State EHC,All,All,All state-funded,All,12.5,%,8,1
Chinese,All,All,All,No identified SEN,All,All state-funded,All,82.3,%,1839,1514
Chinese,Boys,All,SEN Supp,All,All,All state-funded,All,32.6,%,43,14
Chinese,Girls,All,SEN Supp,All,All,All state-funded,All,60,%,35,21
Chinese,All,All,No SEN,All,All,All state-funded,All,82.3,%,1839,1514
Chinese,Boys,All,All,Any SEN,All,All state-funded,All,31.2,%,77,24
Chinese,Girls,All,All,Any SEN,All,All state-funded,All,51.2,%,43,22
Chinese,All,All,SEN State EHC,All,All,All state-funded,All,26.2,%,42,11
Chinese,Boys,All,All,No identified SEN,All,All state-funded,All,79,%,880,695
Chinese,Girls,All,All,No identified SEN,All,All state-funded,All,85.4,%,959,819
Chinese,All,All,All,All,All,Converter Academies,All,84.9,%,1162,987
Chinese,Boys,All,All,All,All,Converter Academies,All,81.6,%,571,466
Chinese,Girls,All,All,All,All,Converter Academies,All,88.2,%,591,521
Chinese,All,All,All,All,All,Free Schools,All,71,%,31,22
Chinese,Boys,All,All,All,All,Free Schools,All,75,%,16,12
Chinese,Girls,All,All,All,All,Free Schools,All,66.7,%,15,10
Chinese,All,All,All,All,All,LA maintained mainstream,All,77.5,%,449,348
Chinese,Boys,All,All,All,All,LA maintained mainstream,All,72.6,%,212,154
Chinese,Girls,All,All,All,All,LA maintained mainstream,All,81.9,%,237,194
Chinese,All,All,All,All,All,Sponsored Academies,All,67.9,%,287,195
Chinese,Boys,All,All,All,All,Sponsored Academies,All,60.6,%,137,83
Chinese,Girls,All,All,All,All,Sponsored Academies,All,74.7,%,150,112
Chinese,All,All,All,All,All,State-funded mainstream,All,80.3,%,1942,1560
Chinese,Boys,All,All,All,All,State-funded mainstream,All,76.1,%,945,719
Chinese,Girls,All,All,All,All,State-funded mainstream,All,84.4,%,997,841
Chinese,All,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,69.6,%,112,78
Chinese,Boys,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,60.3,%,58,35
Chinese,Girls,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,79.6,%,54,43
Chinese,All,All,All,All,non-selective schools in other areas,State-funded mainstream,All,77,%,1467,1129
Chinese,Boys,All,All,All,non-selective schools in other areas,State-funded mainstream,All,72.3,%,704,509
Chinese,Girls,All,All,All,non-selective schools in other areas,State-funded mainstream,All,81.3,%,763,620
Chinese,All,All,All,All,selective schools,State-funded mainstream,All,97.2,%,363,353
Chinese,Boys,All,All,All,selective schools,State-funded mainstream,All,95.6,%,183,175
Chinese,Girls,All,All,All,selective schools,State-funded mainstream,All,98.9,%,180,178
Chinese,All,All,All,All,All,State-funded special schools,All,0,%,17,0
Chinese,Boys,All,All,All,All,State-funded special schools,All,0,%,12,0
Chinese,Girls,All,All,All,All,State-funded special schools,All,0,%,5,0
Chinese,All,All,All,All,All,Studio Schools,All,!,%,1,!
Chinese,Girls,All,All,All,All,Studio Schools,All,!,%,1,!
Chinese,All,All,All,All,All,University Technical Colleges (UTCs),All,37.5,%,8,3
Chinese,Boys,All,All,All,All,University Technical Colleges (UTCs),All,37.5,%,8,3
Chinese,All,All,All,All,All,State-funded mainstream,Church of England,83.5,%,158,132
Chinese,Boys,All,All,All,All,State-funded mainstream,Church of England,81.7,%,82,67
Chinese,Girls,All,All,All,All,State-funded mainstream,Church of England,85.5,%,76,65
Chinese,All,All,All,All,All,State-funded mainstream,Jewish,!,%,3,!
Chinese,Boys,All,All,All,All,State-funded mainstream,Jewish,!,%,2,!
Chinese,Girls,All,All,All,All,State-funded mainstream,Jewish,!,%,1,!
Chinese,All,All,All,All,All,State-funded mainstream,Muslim,!,%,1,!
Chinese,Boys,All,All,All,All,State-funded mainstream,Muslim,!,%,1,!
Chinese,All,All,All,All,All,State-funded mainstream,No religious character,79.5,%,1555,1237
Chinese,Boys,All,All,All,All,State-funded mainstream,No religious character,74.6,%,769,574
Chinese,Girls,All,All,All,All,State-funded mainstream,No religious character,84.4,%,786,663
Chinese,All,All,All,All,All,State-funded mainstream,Other Christian faith,92.8,%,69,64
Chinese,Boys,All,All,All,All,State-funded mainstream,Other Christian faith,94.9,%,39,37
Chinese,Girls,All,All,All,All,State-funded mainstream,Other Christian faith,90,%,30,27
Chinese,All,All,All,All,All,State-funded mainstream,Roman catholic,78.8,%,156,123
Chinese,Boys,All,All,All,All,State-funded mainstream,Roman catholic,73.1,%,52,38
Chinese,Girls,All,All,All,All,State-funded mainstream,Roman catholic,81.7,%,104,85
Pakistani,Boys,FSM,All,All,All,All state-funded,All,35.3,%,2521,891
Pakistani,Girls,FSM,All,All,All,All state-funded,All,41.2,%,2641,1089
White,Boys,FSM,All,All,All,All state-funded,All,20.1,%,30270,6092
White,Girls,FSM,All,All,All,All state-funded,All,26.3,%,29033,7649
Chinese,All,All,SEN Supp,All,All,All state-funded,All,44.9,%,78,35
Chinese,Boys,All,All,All,All,All state-funded,All,75.1,%,957,719
Chinese,All,FSM,All,All,All,All state-funded,All,72.9,%,140,102
Chinese,Girls,All,All,All,All,All state-funded,All,83.9,%,1002,841
Chinese,All,Non-FSM,All,All,All,All state-funded,All,80.2,%,1819,1458
White British,Boys,FSM,All,All,All,All state-funded,All,19.7,%,28252,5568
White British,Girls,FSM,All,All,All,All state-funded,All,25.9,%,27123,7017
White Irish,Girls,FSM,All,All,All,All state-funded,All,32,%,100,32
White Irish,Boys,FSM,All,All,All,All state-funded,All,27.6,%,123,34
Gypsy/Roma,All,All,All,All,All,All state-funded,All,8.1,%,1354,109
Gypsy/Roma,All,FSM,All,All,All,All state-funded,All,5.4,%,497,27
Gypsy/Roma,Boys,All,All,All,All,All state-funded,All,6.7,%,687,46
Gypsy/Roma,All,Non-FSM,All,All,All,All state-funded,All,9.6,%,857,82
Gypsy/Roma,Girls,All,All,All,All,All state-funded,All,9.4,%,667,63
White Other,Girls,FSM,All,All,All,All state-funded,All,38.1,%,1518,578
White Other,Boys,FSM,All,All,All,All state-funded,All,29.7,%,1601,476
Chinese,Boys,FSM,All,All,All,All state-funded,All,68,%,75,51
Indian,All,All,All,All,All,All state-funded,All,70.4,%,16129,11353
Chinese,Girls,FSM,All,All,All,All state-funded,All,78.5,%,65,51
Indian,All,FSM,All,All,All,All state-funded,All,52.1,%,1143,595
Indian,Boys,All,All,All,All,All state-funded,All,66.6,%,8308,5536
Indian,Girls,All,All,All,All,All state-funded,All,74.4,%,7821,5817
Indian,All,Non-FSM,All,All,All,All state-funded,All,71.8,%,14986,10758
Mixed,All,All,All,All,All,Academies and free schools,All,51.9,%,21779,11303
Mixed,Girls,All,All,All,All,Academies and free schools,All,55.5,%,10795,5995
Mixed,Boys,All,All,All,All,Sponsored Academies,All,38.1,%,3261,1244
Mixed,Boys,All,All,All,All,Converter Academies,All,53.4,%,7023,3747
Mixed,Boys,All,All,All,All,Studio Schools,All,22.9,%,35,8
Mixed,Girls,All,All,All,All,University Technical Colleges (UTCs),All,49.3,%,73,36
Mixed,All,All,All,All,All,Studio Schools,All,25,%,64,16
Mixed,Girls,All,All,All,All,Sponsored Academies,All,43.8,%,3083,1349
Mixed,All,All,All,All,All,FE 14-16 Colleges,All,0,%,5,0
Mixed,All,All,All,All,All,Sponsored Academies,All,40.9,%,6344,2593
Mixed,All,All,All,All,All,Free Schools,All,52.5,%,928,487
Mixed,All,All,All,All,All,University Technical Colleges (UTCs),All,40.6,%,207,84
Mixed,All,All,All,All,All,Converter Academies,All,57.1,%,14236,8123
Mixed,Boys,All,All,All,All,Academies and free schools,All,48.3,%,10984,5308
Mixed,Girls,All,All,All,All,FE 14-16 Colleges,All,!,%,1,!
Mixed,Boys,All,All,All,All,Free Schools,All,49.2,%,531,261
Mixed,Boys,All,All,All,All,University Technical Colleges (UTCs),All,35.8,%,134,48
Mixed,Girls,All,All,All,All,Studio Schools,All,27.6,%,29,8
